orgName,totalJun,totalJul,popJun,popJul,percJun,percJul,countDiff,percChange
NHS Oldham CCG,23070,29601,260998,260798,8.839148193,11.350163728,6531,28.40789044569422
NHS Blackpool CCG,15465,17679,175235,175261,8.825291751,10.087241314,2214,14.29923903486825
NHS Tameside and Glossop CCG,17558,25232,251767,251931,6.973908415,10.015440736,7674,43.61302357309492
NHS Wirral CCG,20632,28962,338319,338526,6.098386434,8.555325145,8330,40.288340819170855
NHS Thurrock CCG,9664,13548,182916,183243,5.283299438,7.393461142,3884,39.940225398218274
NHS West Lancashire CCG,5666,8025,113969,113919,4.971527345,7.044478972,2359,41.69647440609623
NHS Southport and Formby CCG,5566,8849,125793,125857,4.424729516,7.030995495,3283,58.90226667134425
NHS North Central London CCG,74783,129034,1701286,1704940,4.395674801,7.568242871,54251,72.17476755282834
NHS Basildon and Brentwood CCG,11461,17877,284323,284553,4.030978852,6.282485161,6416,55.8550761903129
NHS Dorset CCG,32731,46897,812239,812941,4.029725241,5.76880733,14166,43.15634404315952
